id,id_prerequis,decision_prerequis,emetteur,demande,bouton_accepte,bouton_refus,impact_accept_pop,impact_accept_gouv,impact_accept_lobby,impact_refus_pop,impact_refus_gouv,impact_refus_lobby,probabilite,impact_accepte_texte,impact_refus_texte,Comments
1,,,Minister of Information,Publish a false report claiming that the Supreme Leader invented the concept of “hard work”,Yes,No,5,0,0,-5,0,0,50,"The people are temporarily impressed by the Leader's ""wisdom;"" even if the information seems doubtful",Citizens; tired of propaganda; lose a little more trust in the regime,
2,1,1,Head of the Censorship Bureau,Censor all references to “hard work” that existed before the birth of the Leader,Yes,No,-10,0,10,10,-5,0,50,The archives are modified to reinforce the myth of the Leader inventing the concept,Mockery over excessive censorship; some citizens begin making jokes online,
3,2,1,Security Division,All your emails to the Censorship Bureau have been collected by hackers and circulated on Social Media,Delete access to SM,Plan a propaganda,,,,,,,50,,,
4,3,0,Propaganda Division,We've been asked to prepare a propaganda plan regarding all the messages you've had with the Censorship Bureau. We have thought of two plans—what would you prefer?,Blood propaganda,Soft propaganda,0,0,0,0,0,0,50,,,
5,4,0,Propaganda Division,This is a classic case of misinformation by rogue actors. Trust us: everything you see online is simply a ploy to destabilize our great nation’s unity!,Publish it,Publish it,0,10,0,0,10,0,100,,,
6,4,1,Propaganda Division ,Traitors who undermine our authority are everywhere hiding in plain sight. Their recklessness endangers you all and justice will be swift severe and unmistakable.,Publish it,Publish it,-20,10,0,-20,10,0,100,,,
5,,,Association of cooker,Hiding a report showing that “strategic planning” meetings consist of luxurious meals,Hide it,Publish it,-5,5,-10,10,-10,0,50,Loyalty among leaders is reinforced; even though citizens suspect unjustified spending,The population is shocked but admires the transparency; leading to increased trust,
6,,,State newspaper “Eternal Glory to the Leader”.,Publish article claiming that the leader can “communicate with birds”,Hide it,Publish it,10,-10,0,-5,5,0,50,Many citizens find this claim ridiculous; further eroding the credibility of propaganda,State propaganda temporarily gains popularity; though it provokes some amused smiles,
7,,,Group of Indignant Mothers,Publish real figures on school success rates; suspected of being exaggerated,Hide it,Publish it,-10,5,0,10,-5,0,50,Mothers mobilize; challenging the truth of official school success rates,Mothers are reassured; but the Ministry of Education loses credibility,
8,7,1,Minister of Education,Modify reports to ensure 100% school success rate,Yes,No,-10,10,0,10,-5,0,50,"""Perfect standards"" are maintained; but the population grows increasingly skeptical",The transparency of figures is praised by citizens; though it weakens the ministry,
9,,,Head of Internal Affairs,Confiscate telephones containing satirical memes about the regime,Yes,No,-5,10,0,5,-5,0,50,The regime tightens its control; but mistrust of government surveillance grows.,The population breathes a sigh of relief; rumors of state surveillance are defused.,
10,,,Alliance of Sock Manufacturers.,Proclaim “National Work Socks Month”,Yes,No,0,-5,10,5,-5,0,50,Increased support for textile producers; though people are divided between amusement and puzzlement,Citizens see this campaign as a symbol of the regime's bureaucratic rigidity,
11,,,Minister of External Affairs,Issue a press release stating that the Leader has “discovered” a neighboring country,Yes,No,-5,5,0,10,-10,0,50,"Increase in admiration for the Leader; though some laugh at the ""geographic discovery.""",Loss of credibility; international criticism over this dubious claim.,
12,,,National Fashion Observatory,Announce that the Leader is launching a new fashion trend of “compulsory plain socks”,Yes,No,5,-5,10,10,0,0,50,Plain socks become a patriotic symbol; though they spark some popular mockery.,The public is pleased with the lack of strict dress code; feeling generally relieved.,
13,12,1,Patriotic Accessories Association,Distribute “certificates of patriotism” for those who wear plain socks,Yes,No,-10,5,5,10,-10,-5,50,Some citizens are enthusiastic; but others see this action as an attempt at control,Citizens ignore this proposal; mocking the rigidity of this new patriotic requirement.,
14,,,Club of Patriotes Scientists,Publish an article explaining that the Leader invented “clean air”,Yes,No,0,5,-5,5,-5,0,50,Citizens ignore this proposal; mocking the rigidity of this new patriotic requirement.,The population feels somewhat reassured; finding the situation less absurd than usual.,
15,14,1,Ministry of the Environment,Ban the production of fans and air conditioners,Yes,No,-10,5,0,10,-10,0,50,Citizens are forced to adapt; though the ministry loses credibility over its decisions.,The public finds it ridiculous and questions the management of essential goods.,
16,,,Concerned Parents Group,Request statistics on children's candy consumption,Yes,No,10,-5,0,-5,5,0,50,The public welcomes this transparency; though the government sees it as a low priority.,Parents grow suspicious and band together; increasing demand for information about children.,
17,,,Bakers' Union,Announcing that the Leader eats only “patriotic bread”,Yes,No,5,0,10,10,-5,0,50,The population is intrigued; and bakers see their sales increase despite the criticism.,The public mocks this eccentricity; calling the regime absurd.,
18,17,1,Federation of Official Air Conditioners,Request authorization to resell confiscated old fans,Yes,No,5,0,10,5,-5,0,50,The population appreciates the recycling initiative; though sales remain controlled.,Citizens are unhappy with the confiscation without recycling options; fueling further criticism.,
19,,,Union of Agricultural Patriots,Publish report stating that record harvest is due to “encouragement” from the Leader,Yes,No,5,5,0,-5,-10,0,50,Citizens see the Leader as an “agricultural savior;” boosting his popularity.,Farmers complain about a lack of recognition; and some refuse to participate in ceremonies.,
20,19,0,Minister of Agriculture,Organize an agricultural festival in the Leader's honor to correct tension with farmers,Yes,No,5,-5,5,-10,-10,0,50,Farmers regain confidence; though the public sees it as a waste of resources.,Farmers express their discontent; leading to shortages in some areas.,
