id,id_prerequis,decision_prerequis,emetteur,demande,accepte_texte,refus_texte,impact_accept_pop,impact_accept_gouv,impact_accept_lobby,impact_refus_pop,impact_refus_gouv,impact_refus_lobby,probabilite
1,,,Ministre de l’Information,"Publier un faux rapport affirmant que le Suprême Dirigeant a inventé le concept de ""travail acharné""",Le peuple est temporairement impressionné par la « sagesse » du Dirigeant; même si l’info semble douteuse.,Les citoyens; lassés de la propagande; perdent un peu plus confiance dans le régime.,5,0,0,-5,0,0,
2,1,1,Chef du Bureau de la Censure,"Censurer toutes les références au ""travail acharné"" qui existaient avant la naissance du Dirigeant",Les archives sont modifiées pour renforcer le mythe de l'invention du concept par le Dirigeant.,Moqueries sur la censure excessive; certains citoyens commencent à faire des blagues en ligne.,-10,0,10,10,-5,0,
3,,,Association des Grands Chefs,Cacher un rapport montrant que les réunions de “planification stratégique” consistent en repas luxueux,La loyauté des chefs est renforcée; même si les citoyens soupçonnent des dépenses injustifiées.,La population est choquée mais admire la transparence; augmentation de la confiance.,-5,5,-10,10,-10,0,
4,,,"Journal d'État ""Gloire Éternelle au Dirigeant""","Publier un article prétendant que le Dirigeant peut ""communiquer avec les oiseaux""",La propagande d'État gagne temporairement en popularité; même si cela suscite quelques sourires amusés.,De nombreux citoyens trouvent cette affirmation ridicule; érodant encore la crédibilité de la propagande.,-5,5,0,10,-10,0,
5,,,Groupe de Mères Indignées,Publier de vrais chiffres sur le taux de réussite scolaire; soupçonnés d’être exagérés,Les mères sont rassurées; mais le ministère de l'Éducation perd en crédibilité.,Les mères se mobilisent; contestant la véracité des chiffres officiels de réussite scolaire.,10,-5,0,-10,5,0,
6,5,1,Ministre de l’Éducation,Modifier les rapports pour garantir un taux de réussite scolaire de 100%,"Maintien des ""standards parfaits""; mais la population devient de plus en plus sceptique.",La transparence des chiffres est saluée par les citoyens; bien que le ministère en sorte affaibli.,-10,10,0,10,-5,0,
7,,,Chef des Affaires Intérieures,Confisquer les téléphones contenant des mèmes satiriques sur le régime,Le régime renforce son contrôle; mais la méfiance grandit vis-à-vis de la surveillance gouvernementale.,La population respire un peu; les rumeurs de surveillance étatique sont désamorcées.,-5,10,0,5,-5,0,
8,,,Alliance des Producteurs de Chaussettes,"Proclamer le ""Mois National des Chaussettes de Travail""",Soutien accru des producteurs textiles; bien que la population soit partagée entre amusement et perplexité.,Les citoyens voient cette campagne comme un symbole de la rigidité bureaucratique du régime.,0,-5,10,5,-5,0,
9,,,Syndicat des Chefs de la Gastronomie Nationale,"Affirmer que le Dirigeant est le ""Créateur"" du ragoût national",Augmentation de la popularité des plats locaux; bien que l'image du régime devienne plus excentrique.,"Moqueries populaires; certains citoyens parodient le ragoût ""sacré"" du Dirigeant.",5,-5,0,10,-10,0,
10,,,Association des Jardiniers de la Capitale,Instituer une campagne de plantation en l'honneur du Dirigeant,La campagne reçoit un bon accueil; mais les ressources semblent mal allouées par le gouvernement.,La population est amusée par l’initiative; soulignant le côté excessif de l'autorité verte.,5,-5,0,10,-5,0,
11,,,Ministre des Affaires Extérieures,Publier un communiqué affirmant que le Dirigeant a « découvert » un pays voisin.,"Augmentation de l’admiration pour le Dirigeant; même si certains rient de la ""découverte"" géographique.",Perte de crédibilité; critiques de l’international sur cette affirmation douteuse.,-5,5,0,10,-10,0,
12,,,Observatoire de la Mode National,Annoncer que le Dirigeant lance une nouvelle mode de “chaussettes unies obligatoires”,Les chaussettes unies deviennent un symbole patriotique; mais suscitent quelques moqueries populaires.,La population se réjouit de l'absence d'obligation vestimentaire stricte; soulagement général.,5,-5,10,10,0,0,
13,12,1,Association des Accessoires Patriotiques,Distribuer des « certificats de patriotisme » pour ceux qui portent les chaussettes unies,Certains citoyens sont enthousiastes; mais d'autres voient cette action comme une tentative de contrôle.,Les citoyens ignorent cette proposition; se moquant de la rigidité de cette nouvelle exigence patriotique.,-10,5,5,10,-10,-5,
14,,,Club des Scientifiques Patriotes,Publier un article expliquant que le Dirigeant a inventé « l’air pur »,La population est amusée; bien que les écoliers aient des doutes; suscitant une discussion collective.,La population se sent légèrement rassurée; trouvant la situation moins absurde que d'habitude.,0,5,-5,5,-5,0,
15,14,1,Ministère de l'Environnement,Interdire la production de ventilateurs et d'appareils de climatisation,Les citoyens sont obligés de s'adapter; bien que le ministère perde en crédibilité sur ses décisions.,La population trouve cela ridicule et se questionne sur la gestion des biens de première nécessité.,-10,5,0,10,-10,0,
16,,,Groupe des Parents Préoccupés,Demander des statistiques sur la consommation de bonbons des enfants,La population accueille cette transparence; bien que le gouvernement considère cela peu prioritaire.,Les parents se méfient et se regroupent; augmentant la demande pour des informations sur les enfants.,10,-5,0,-5,5,0,
17,,,Union des Boulangers,Annoncer que le Dirigeant mange uniquement du « pain patriotique »,La population est intriguée; et les boulangers voient leurs ventes augmenter malgré les critiques.,La population se moque de cette excentricité; qualifiant le régime d’absurde.,5,0,10,10,-5,0,
18,,,Groupe des Éditeurs Historiques,Exiger que les manuels scolaires glorifient les goûts culinaires du Dirigeant,Les enfants apprennent des histoires absurdes; augmentant leur scepticisme sur les informations d’État.,Les manuels restent inchangés; la population se sent soulagée de l’absence de nouvelle propagande.,-10,10,0,10,-5,0,
19,18,1,Association des Jeunes Patriotes,Lancer un concours d’écriture sur « Les repas préférés du Dirigeant »,Participation populaire accrue; bien que certains citoyens s’amusent du côté ridicule du concours.,La population critique l’initiative; voyant cela comme une distraction inutile.,5,-5,10,10,0,0,
20,,,Fédération des Climatiseurs Officiels,Demander l’autorisation de revendre les anciens ventilateurs confisqués (id 015 accepté),La population apprécie l’initiative de recyclage; bien que la vente reste contrôlée.,Les citoyens sont mécontents de la confiscation sans possibilité de recyclage; renforçant les critiques.,5,0,10,5,-5,0,
21,,,Union des Patriotes Agricoles,Publier un rapport affirmant que la récolte record est due aux « encouragements » du Dirigeant,Les citoyens voient le Dirigeant comme un « sauveur de l'agriculture »; ce qui accroît sa popularité.,Les agriculteurs se plaignent de ne pas être reconnus; et certains refusent de participer aux cérémonies,5,5,0,-5,-10,0,
22,21,0,Ministre de l'Agriculture,Organiser un festival agricole en l'honneur du Dirigeant pour corriger la tension avec les agriculteurs,Les agriculteurs reprennent confiance; bien que la population voie cela comme un gaspillage de ressources.,Les agriculteurs manifestent leur mécontentement; menant à des pénuries dans certaines zones.,5,-5,5,-10,-10,0,
23,,,Club des Inventeurs Nationaux,Annoncer que le Dirigeant a inventé une « nouvelle technique de méditation »,Le peuple est impressionné par cette sagesse supposée; malgré quelques sourires amusés.,La population se moque publiquement de cette annonce; ce qui irrite fortement le ministère.,5,10,0,10,-10,-5,
24,,,Conseil de la Science Suprême,Publier une étude affirmant que le Dirigeant « possède un intellect supérieur inné »,La population; bien que sceptique; est contrainte de reconnaître ce mythe pour éviter les représailles.,Le conseil perçoit cela comme une insulte; entraînant une campagne de diffamation contre les dissidents.,-10,10,10,10,-10,-5,
25,,,Association des Auteurs Officiels,Exiger que tous les manuels scolaires mentionnent la date de naissance du Dirigeant,Les manuels sont modifiés; mais les enseignants remarquent l’absurdité de cette glorification constante.,Le ministère menace les enseignants réticents; générant des tensions dans le secteur éducatif.,-10,5,0,10,-10,-5,
26,,,Comité des Sportifs Patriotes,Exiger la diffusion d’un documentaire affirmant que le Dirigeant court plus vite que n'importe quel athlète,La propagande sportive augmente temporairement l'enthousiasme; mais le peuple est dubitatif.,Les athlètes expriment publiquement leur frustration; et certains refusent de participer aux compétitions officielles.,-5,5,10,10,-5,-10,
27,,,Institut des Traditions Populaires,Organiser une journée nationale pour célébrer « l’héritage culinaire » du Dirigeant,La population trouve cela amusant; mais certains groupes trouvent le régime excentrique.,Les organisateurs accusent les autorités de négliger le patrimoine national; et de petites manifestations apparaissent.,5,-5,0,10,-5,-5,
28,27,0,Ministère de la Culture,Organiser un « concours culinaire patriotique » pour apaiser les critiques,Certains citoyens participent; et l'événement reçoit un accueil modéré.,Les citoyens se sentent ignorés; menant à des articles critiques dans la presse étrangère.,5,-5,0,10,-5,-5,
29,,,Union des Travailleurs de la Sidérurgie,Annoncer que le Dirigeant a unifié les travailleurs sous un « code moral unique »,Les travailleurs se sentent valorisés et certains citoyens y voient une preuve de discipline.,Des critiques émergent; et certains ouvriers menacent de se syndiquer de manière autonome.,5,5,5,10,-5,-5,
30,,,Journal d'État « Vérité et Gloire »,Publier un éditorial affirmant que les étrangers envient « le mode de vie » du Dirigeant,La population est flattée; bien que sceptique ; certains lobbies se réjouissent de la valorisation.,Les citoyens voient cette affirmation comme déconnectée; et une vague de critiques se répand sur les réseaux sociaux.,5,5,10,10,-5,-5,
